"","date","attitude","proportion"
"1","2018/04/02","negative",0.423076923076923
"2","2018/04/03","negative",0.498892988929889
"3","2018/04/18","negative",0.604546622142307
"4","2018/04/12","negative",0.418212478920742
"5","2018/04/13","negative",0.631578947368421
"6","2018/04/15","negative",0.805628272251309
"7","2018/04/16","negative",0.795333333333333
"8","2018/04/17","negative",0.687707641196013
"9","2018/04/19","negative",0.722222222222222
"10","2018/04/04","negative",0.647439851943245
"11","2018/04/20","negative",0.692640692640693
"12","2018/04/21","negative",0.625925925925926
"13","2018/04/05","negative",0.709308305476986
"14","2018/04/06","negative",0.627727856225931
"15","2018/04/08","negative",0.726700251889169
"16","2018/04/10","negative",0.464285714285714
"17","2018/04/11","negative",0.634187316253675
"18","2018/04/02","neutral",0.318509615384615
"19","2018/04/03","neutral",0.266420664206642
"20","2018/04/18","neutral",0.0976110968404829
"21","2018/04/12","neutral",0.0618324901630129
"22","2018/04/13","neutral",0.0827067669172932
"23","2018/04/15","neutral",0.0759162303664921
"24","2018/04/16","neutral",0.102666666666667
"25","2018/04/17","neutral",0.0963455149501661
"26","2018/04/19","neutral",0.0850540806293019
"27","2018/04/04","neutral",0.141270820481184
"28","2018/04/20","neutral",0.0432900432900433
"29","2018/04/21","neutral",0.106349206349206
"30","2018/04/05","neutral",0.140524556441245
"31","2018/04/06","neutral",0.086007702182285
"32","2018/04/08","neutral",0.127707808564232
"33","2018/04/10","neutral",0.126373626373626
"34","2018/04/11","neutral",0.106257874842503
"35","2018/04/02","positive",0.258413461538462
"36","2018/04/03","positive",0.234686346863469
"37","2018/04/18","positive",0.29784228101721
"38","2018/04/12","positive",0.519955030916245
"39","2018/04/13","positive",0.285714285714286
"40","2018/04/15","positive",0.118455497382199
"41","2018/04/16","positive",0.102
"42","2018/04/17","positive",0.215946843853821
"43","2018/04/19","positive",0.192723697148476
"44","2018/04/04","positive",0.211289327575571
"45","2018/04/20","positive",0.264069264069264
"46","2018/04/21","positive",0.267724867724868
"47","2018/04/05","positive",0.150167138081769
"48","2018/04/06","positive",0.286264441591784
"49","2018/04/08","positive",0.145591939546599
"50","2018/04/10","positive",0.409340659340659
"51","2018/04/11","positive",0.259554808903822
